timepointyears,geographicaream49,toi_aff
1993,458,0.5175
1994,458,0.5761
1995,458,0.6108
1996,458,0.6286
1997,458,0.6009
1998,458,0.6206
1999,458,0.7329
2000,458,0.6889
2001,458,0.767
2002,458,0.7891
2003,458,0.8061
2004,458,0.8718
2005,458,0.841
2006,458,0.8541
2007,458,0.8218
2008,458,0.8122
2009,458,0.8109
2010,458,0.8589
2011,458,0.861
2012,458,0.8406
2013,458,0.8265
2014,458,0.8227
2015,458,0.8374
2016,458,0.8163
2017,458,0.7771
2018,458,0.7756
1995,462,2.9679
1996,462,3.1231
1997,462,3.1857
1998,462,3.0314
1999,462,2.3341
2000,462,2.2686
2001,462,2.0311
2002,462,2.3138
2003,462,2.8345
2004,462,2.7951
2005,462,2.4345
2006,462,3.2112
2007,462,3.1855
2008,462,3.2012
2009,462,2.604
2010,462,2.404
2011,462,3.7292
2012,462,3.8176
2013,462,3.684
2014,462,3.2659
2015,462,2.5406
2016,462,2.3114
2017,462,2.5507
2018,462,2.5895
1970,466,0.4278
1971,466,0.4315
1972,466,0.5356
1973,466,0.6814
1974,466,0.7451
1975,466,0.4753
1976,466,0.5651
1977,466,0.526
1978,466,0.4
1979,466,0.2966
1980,466,0.3458
1981,466,0.2893
1982,466,0.4825
1983,466,0.4718
1984,466,0.5706
1985,466,0.5113
1986,466,0.5491
1987,466,0.4558
1988,466,0.4429
1989,466,0.358
1990,466,0.3703
1991,466,0.3858
1992,466,0.4113
1993,466,0.3988
1994,466,0.2798
1995,466,0.2905
1996,466,0.337
1997,466,0.2785
1998,466,0.3326
1999,466,0.2814
2000,466,0.2972
2001,466,0.3618
2002,466,0.3339
2003,466,0.2534
2004,466,0.3734
2005,466,0.4068
2006,466,0.3535
2007,466,0.2556
2008,466,0.1833
2009,466,0.1065
2010,466,0.1007
2011,466,0.1175
2012,466,0.1212
2013,466,0.1222
2014,466,0.1155
2015,466,0.1354
2016,466,0.1296
2017,466,0.1418
2018,466,0.113
1970,470,3.4441
1971,470,3.6809
1972,470,3.3895
1973,470,4.1246
1974,470,3.2849
1975,470,3.4424
1976,470,3.0801
1977,470,3.543
1978,470,3.2888
1979,470,3.4202
1980,470,2.7413
1981,470,2.3863
1982,470,2.1776
1983,470,1.8158
1984,470,2.0542
1985,470,2.0635
1986,470,2.0135
1987,470,2.1875
1988,470,2.5244
1989,470,2.1861
1990,470,2.3444
1991,470,2.1981
1992,470,2.7224
1993,470,2.492
1994,470,2.2166
1995,470,2.3619
1996,470,2.528
1997,470,2.5143
1998,470,2.52
1999,470,2.6806
2000,470,2.939
2001,470,2.4336
2002,470,2.5242
2003,470,2.6405
2004,470,2.4881
2005,470,2.5703
2006,470,2.612
2007,470,3.3235
2008,470,4.5581
2009,470,3.0405
2010,470,2.6954
2011,470,3.2586
2012,470,4.2891
2013,470,3.6519
2014,470,3.2559
2015,470,3.6558
2016,470,2.9626
2017,470,4.5239
2018,470,3.7997
1970,478,0.0504
1971,478,0.0613
1972,478,0.0797
1973,478,0.1412
1974,478,0.1017
1975,478,0.0949
1976,478,0.1066
1977,478,0.1474
1978,478,0.1499
1979,478,0.167
1980,478,0.1841
1981,478,0.2013
1982,478,0.2184
1983,478,0.2355
1984,478,0.2526
1985,478,0.2427
1986,478,0.2329
1987,478,0.223
1988,478,0.2131
1989,478,0.2055
1990,478,0.1739
1991,478,0.2673
1992,478,0.1844
1993,478,0.1969
1994,478,0.1451
1995,478,0.157
1996,478,0.1689
1997,478,0.3477
1998,478,0.5265
1999,478,0.3324
2000,478,0.3289
2001,478,0.3428
2002,478,0.4178
2003,478,0.3566
2004,478,0.3641
2005,478,0.407
2006,478,0.4187
2007,478,0.5522
2008,478,0.5958
2009,478,0.6253
2010,478,0.6934
2011,478,0.5029
2012,478,0.5646
2013,478,0.5105
2014,478,0.5236
2015,478,0.6262
2016,478,0.4444
2017,478,0.5217
2018,478,0.4736
1970,480,3.2237
1971,480,2.7112
1972,480,3.3429
1973,480,3.0054
1974,480,2.838
1975,480,2.2593
1976,480,1.9154
1977,480,2.1431
1978,480,2.0495
1979,480,2.0789
1980,480,3.2051
1981,480,2.0318
1982,480,2.0914
1983,480,2.4285
1984,480,2.2464
1985,480,2.0345
1986,480,1.9973
1987,480,2.2632
1988,480,2.3533
1989,480,2.6368
1990,480,2.3503
1991,480,2.2713
1992,480,2.3381
1993,480,2.5086
1994,480,2.6323
1995,480,2.4577
1996,480,3.0868
1997,480,2.4452
1998,480,2.6034
1999,480,3.4175
2000,480,2.3469
2001,480,2.5071
2002,480,3.0908
2003,480,2.8457
2004,480,2.7104
2005,480,2.8511
2006,480,2.4235
2007,480,2.2996
2008,480,2.1988
2009,480,1.9772
2010,480,2.0442
2011,480,1.9572
2012,480,1.9207
2013,480,2.0844
2014,480,1.9849
2015,480,2.1854
2016,480,2.0505
2017,480,2.2234
2018,480,2.1046
1970,484,0.1615
1971,484,0.1555
1972,484,0.1964
1973,484,0.1959
1974,484,0.2014
1975,484,0.182
1976,484,0.1317
1977,484,0.1831
1978,484,0.1858
1979,484,0.2022
1980,484,0.298
1981,484,0.2757
1982,484,0.2077
1983,484,0.2684
1984,484,0.2679
1985,484,0.2474
1986,484,0.2111
1987,484,0.2786
1988,484,0.3357
1989,484,0.3684
1990,484,0.3546
1991,484,0.3305
1992,484,0.3516
1993,484,0.3571
1994,484,0.4179
1995,484,0.4257
1996,484,0.5118
1997,484,0.4972
1998,484,0.5976
1999,484,0.6125
2000,484,0.6374
2001,484,0.6304
2002,484,0.6666
2003,484,0.6497
2004,484,0.6335
2005,484,0.7063
2006,484,0.7676
2007,484,0.7242
2008,484,0.7648
2009,484,0.7568
2010,484,0.7752
2011,484,0.8682
2012,484,0.8471
2013,484,0.8381
2014,484,0.8584
2015,484,0.8878
2016,484,0.9661
2017,484,0.9588
2018,484,0.9615
1970,52,1.5724
1971,52,1.6817
1972,52,1.7842
1973,52,1.7746
1974,52,1.612
1975,52,1.5192
1976,52,1.6059
1977,52,1.7407
1978,52,1.6152
1979,52,1.5331
1980,52,1.7279
1981,52,1.5998
1982,52,1.637
1983,52,1.5114
1984,52,1.658
1985,52,1.5373
1986,52,1.6341
1987,52,1.7163
1988,52,1.8221
1989,52,1.9778
1990,52,1.7918
1991,52,2.0044
1992,52,2.2504
1993,52,2.0977
1994,52,2.2982
1995,52,2.3198
1996,52,2.1798
1997,52,2.6252
1998,52,2.2141
1999,52,2.4305
2000,52,2.1709
2001,52,2.6939
2002,52,2.4143
2003,52,2.6308
2004,52,2.8748
2005,52,2.942
2006,52,3.1045
2007,52,3.0878
2008,52,3.615
2009,52,2.7469
2010,52,2.6987
2011,52,3.1968
2012,52,2.9259
2013,52,2.9292
2014,52,2.9108
2015,52,3.0134
2016,52,3.2932
2017,52,3.2493
2018,52,3.2873
1970,496,0.2379
1971,496,0.1617
1972,496,0.1893
1973,496,0.253
1974,496,0.1685
1975,496,0.2089
1976,496,0.2102
1977,496,0.1858
1978,496,0.1695
1979,496,0.2123
1980,496,0.1562
1981,496,0.1949
1982,496,0.1391
1983,496,0.2084
1984,496,0.1915
1985,496,0.1764
1986,496,0.258
1987,496,0.1979
1988,496,0.1773
1989,496,0.1192
1990,496,0.1269
1991,496,0.1008
1992,496,0.0748
1993,496,0.134
1994,496,0.1032
1995,496,0.125
1996,496,0.0998
1997,496,0.1095
1998,496,0.1185
1999,496,0.1038
2000,496,0.1962
2001,496,0.2424
2002,496,0.333
2003,496,0.2608
2004,496,0.2428
2005,496,0.2213
2006,496,0.2248
2007,496,0.2096
2008,496,0.201
2009,496,0.1958
2010,496,0.1918
2011,496,0.1957
2012,496,0.1518
2013,496,0.1413
2014,496,0.1646
2015,496,0.1492
2016,496,0.175
2017,496,0.1446
2018,496,0.148
1995,500,1.9296
1996,500,4.1919
1997,500,12.5632
1998,500,9.4525
1999,500,8.6171
2000,500,4.2266
2001,500,5.6596
2002,500,4.9002
2003,500,6.5322
2004,500,9.7395
2005,500,8.3334
2006,500,5.8879
2007,500,7.1157
2008,500,8.7445
2009,500,5.0788
2010,500,8.6108
2011,500,8.1601
2012,500,6.8632
2013,500,6.5754
2014,500,5.7611
2015,500,8.1261
2016,500,4.9813
2017,500,5.7881
2018,500,5.4011
1970,504,0.4068
1971,504,0.3202
1972,504,0.3561
1973,504,0.4848
1974,504,0.3823
1975,504,0.4165
1976,504,0.35
1977,504,0.4101
1978,504,0.3727
1979,504,0.3521
1980,504,0.3852
1981,504,0.5726
1982,504,0.3559
1983,504,0.3791
1984,504,0.4279
1985,504,0.3351
1986,504,0.2301
1987,504,0.3127
1988,504,0.2614
1989,504,0.2155
1990,504,0.2223
1991,504,0.229
1992,504,0.4137
1993,504,0.4795
1994,504,0.2257
1995,504,0.5563
1996,504,0.2928
1997,504,0.3887
1998,504,0.3806
1999,504,0.4809
2000,504,0.5652
2001,504,0.4725
2002,504,0.4553
2003,504,0.3153
2004,504,0.3055
2005,504,0.4373
2006,504,0.3082
2007,504,0.5438
2008,504,0.4652
2009,504,0.3204
2010,504,0.3912
2011,504,0.3479
2012,504,0.4392
2013,504,0.3223
2014,504,0.4109
2015,504,0.3604
2016,504,0.5306
2017,504,0.3833
2018,504,0.3896
1970,508,0.6001
1971,508,0.5336
1972,508,0.6289
1973,508,0.5043
1974,508,0.4066
1975,508,0.3009
1976,508,0.2586
1977,508,0.18
1978,508,0.1881
1979,508,0.2998
1980,508,0.2379
1981,508,0.2061
1982,508,0.1936
1983,508,0.2043
1984,508,0.2125
1985,508,0.2833
1986,508,0.1813
1987,508,0.2195
1988,508,0.24
1989,508,0.1959
1990,508,0.2013
1991,508,0.2659
1992,508,0.5104
1993,508,0.266
1994,508,0.2837
1995,508,0.2382
1996,508,0.1668
1997,508,0.1618
1998,508,0.1757
1999,508,0.1357
2000,508,0.207
2001,508,0.194
2002,508,0.2231
2003,508,0.2202
2004,508,0.2454
2005,508,0.2537
2006,508,0.3162
2007,508,0.2337
2008,508,0.2106
2009,508,0.2233
2010,508,0.2634
2011,508,0.2444
2012,508,0.2494
2013,508,0.3398
2014,508,0.3031
2015,508,0.3099
2016,508,0.2397
2017,508,0.354
2018,508,0.3362
1995,583,0.8693
1996,583,0.8529
1997,583,0.8931
1998,583,0.6955
1999,583,0.7892
2000,583,0.753
2001,583,0.8933
2002,583,0.417
2003,583,0.8952
2004,583,0.8658
2005,583,1.0215
2006,583,0.838
2007,583,0.7916
2008,583,0.4844
2009,583,0.8182
2010,583,0.9693
2011,583,1.3801
2012,583,1.0768
2013,583,1.0035
2014,583,0.8736
2015,583,0.9105
2016,583,0.7873
2017,583,0.8455
2018,583,0.9133
1992,498,0.6318
1993,498,0.4886
1994,498,0.5656
1995,498,0.8063
1996,498,0.8097
1997,498,0.7216
1998,498,0.6784
1999,498,0.607
2000,498,0.4671
2001,498,0.6691
2002,498,0.9974
2003,498,1.1167
2004,498,0.8476
2005,498,0.9672
2006,498,0.8285
2007,498,1.2002
2008,498,0.9571
2009,498,1.2768
2010,498,1.0846
2011,498,1.1153
2012,498,1.1798
2013,498,1.1015
2014,498,1.2305
2015,498,1.2946
2016,498,1.3052
2017,498,1.3809
2018,498,1.3298
1970,516,0.3521
1971,516,0.3461
1972,516,0.3558
1973,516,0.3538
1974,516,0.3372
1975,516,0.285
1976,516,0.3253
1977,516,0.339
1978,516,0.3432
1979,516,0.3658
1980,516,0.3863
1981,516,0.3308
1982,516,0.3328
1983,516,0.378
1984,516,0.3885
1985,516,0.3918
1986,516,0.3785
1987,516,0.3998
1988,516,0.391
1989,516,0.4152
1990,516,0.3726
1991,516,0.349
1992,516,0.4981
1993,516,0.47
1994,516,0.3286
1995,516,0.4375
1996,516,0.4004
1997,516,0.9368
1998,516,1.3311
1999,516,0.7014
2000,516,0.6553
2001,516,0.8652
2002,516,0.6079
2003,516,0.5648
2004,516,0.557
2005,516,0.5685
2006,516,0.5442
2007,516,0.7038
2008,516,0.6641
2009,516,0.4593
2010,516,0.4257
2011,516,0.4465
2012,516,1.1541
2013,516,1.4433
2014,516,1.2042
2015,516,1.3683
2016,516,1.3819
2017,516,1.3498
2018,516,1.1324
1995,520,2.0525
1996,520,2.2929
1997,520,1.3829
1998,520,0.9154
1999,520,1.2309
2000,520,2.9897
2001,520,3.7193
2002,520,0.9316
2003,520,3.8916
2004,520,1.582
2005,520,1.2287
2006,520,2.1715
2007,520,5.5762
2008,520,5.584
2009,520,0.9683
2010,520,1.9524
2011,520,1.6251
2012,520,1.6893
2013,520,5.1731
2014,520,6.9348
2015,520,3.9937
2016,520,3.3847
2017,520,3.282
2018,520,4.8075
1970,524,0.1205
1971,524,0.1167
1972,524,0.0645
1973,524,0.1441
1974,524,0.039
1975,524,0.0533
1976,524,0.0606
1977,524,0.0569
1978,524,0.0306
1979,524,0.0369
1980,524,0.0348
1981,524,0.0525
1982,524,0.061
1983,524,0.0577
1984,524,0.0515
1985,524,0.0657
1986,524,0.0682
1987,524,0.06
1988,524,0.0709
1989,524,0.0462
1990,524,0.0398
1991,524,0.0341
1992,524,0.0504
1993,524,0.0568
1994,524,0.0466
1995,524,0.0513
1996,524,0.0469
1997,524,0.0528
1998,524,0.0554
1999,524,0.0911
2000,524,0.0756
2001,524,0.0688
2002,524,0.0952
2003,524,0.141
2004,524,0.0998
2005,524,0.1085
2006,524,0.0955
2007,524,0.1179
2008,524,0.0983
2009,524,0.1202
2010,524,0.1196
2011,524,0.1365
2012,524,0.1701
2013,524,0.162
2014,524,0.2105
2015,524,0.1875
2016,524,0.2432
2017,524,0.2549
2018,524,0.3044
1970,528,7.4096
1971,528,6.7765
1972,528,7.0835
1973,528,7.6621
1974,528,7.1329
1975,528,7.4248
1976,528,7.1019
1977,528,6.4538
1978,528,6.3973
1979,528,5.9247
1980,528,5.8651
1981,528,5.7797
1982,528,5.7625
1983,528,5.9912
1984,528,5.5175
1985,528,5.8813
1986,528,5.1263
1987,528,5.7219
1988,528,5.7936
1989,528,5.3579
1990,528,5.3822
1991,528,4.6487
1992,528,4.7891
1993,528,4.4825
1994,528,5.1566
1995,528,4.6896
1996,528,4.8659
1997,528,4.3294
1998,528,4.5662
1999,528,5.0707
2000,528,4.2685
2001,528,4.9702
2002,528,5.2537
2003,528,5.4562
2004,528,5.5892
2005,528,5.7449
2006,528,5.8194
2007,528,5.9807
2008,528,6.1138
2009,528,5.9853
2010,528,6.2087
2011,528,6.3298
2012,528,6.498
2013,528,6.5499
2014,528,5.9998
2015,528,5.8888
2016,528,5.8995
2017,528,6.7944
2018,528,7.1195
1995,530,14.9376
1996,530,14.7312
1997,530,12.9212
1998,530,12.0015
1999,530,8.9307
2000,530,9.7112
2001,530,4.161
2002,530,5.5245
2003,530,10.5114
2004,530,4.4371
2005,530,3.4953
2006,530,4.4237
2007,530,5.6898
2008,530,5.9509
2009,530,7.6797
2010,530,8.8974
1970,540,0.9901
1971,540,0.8678
1972,540,0.7923
1973,540,1.1341
1974,540,1.2036
1975,540,1.226
1976,540,1.0377
1977,540,1.1256
1978,540,1.0241
1979,540,1.3861
1980,540,1.3237
1981,540,2.9428
1982,540,2.5081
1983,540,2.1769
1984,540,2.3494
1985,540,2.121
1986,540,2.302
1987,540,2.1619
1988,540,2.0871
1989,540,1.8014
1990,540,1.5263
1991,540,1.5373
1992,540,1.6585
1993,540,1.5446
1994,540,1.6333
1995,540,1.7674
1996,540,1.8549
1997,540,2.1421
1998,540,1.6314
1999,540,1.3977
2000,540,1.3054
2001,540,1.3537
2002,540,1.7258
2003,540,1.8303
2004,540,1.7783
2005,540,1.9999
2006,540,1.8135
2007,540,2.339
2008,540,2.1471
2009,540,2.3473
2010,540,2.5682
2011,540,2.2763
2012,540,1.8546
2013,540,1.7539
2014,540,1.6503
2015,540,1.3847
2016,540,1.2301
2017,540,1.1751
2018,540,1.1925
1995,807,0.7994
1996,807,0.641
1997,807,0.9216
1998,807,0.8185
1999,807,0.7159
2000,807,0.7831
2001,807,0.7811
2002,807,0.8586
2003,807,0.688
2004,807,0.7638
2005,807,0.904
2006,807,0.9741
2007,807,1.1035
2008,807,0.861
2009,807,0.9319
2010,807,1.0133
2011,807,1.1751
2012,807,1.2746
2013,807,1.0516
2014,807,1.0065
2015,807,1.0682
2016,807,1.0805
2017,807,1.2445
2018,807,1.3068
1970,548,0.719
1971,548,0.7824
1972,548,0.5333
1973,548,0.519
1974,548,0.5158
1975,548,0.4088
1976,548,0.4435
1977,548,0.5572
1978,548,0.5274
1979,548,0.5478
1980,548,0.4387
1981,548,0.5359
1982,548,0.4027
1983,548,0.3677
1984,548,0.4037
1985,548,0.3652
1986,548,0.4194
1987,548,0.3895
1988,548,0.4022
1989,548,0.3353
1990,548,0.372
1991,548,0.3293
1992,548,0.3254
1993,548,0.3042
1994,548,0.3117
1995,548,0.2717
1996,548,0.2917
1997,548,0.3557
1998,548,0.3104
1999,548,0.2764
2000,548,0.2788
2001,548,0.2456
2002,548,0.2275
2003,548,0.2219
2004,548,0.3026
2005,548,0.2448
2006,548,0.2324
2007,548,0.2132
2008,548,0.2507
2009,548,0.2464
2010,548,0.2608
2011,548,0.2524
2012,548,0.2226
2013,548,0.156
2014,548,0.1824
2015,548,0.2393
2016,548,0.2416
2017,548,0.298
2018,548,0.4497
1970,554,1.1712
1971,554,1.1518
1972,554,1.002
1973,554,1.0701
1974,554,1.281
1975,554,1.0979
1976,554,1.1648
1977,554,1.5459
1978,554,1.4252
1979,554,1.333
1980,554,1.2288
1981,554,1.2842
1982,554,1.2391
1983,554,1.4655
1984,554,1.4694
1985,554,1.3713
1986,554,1.3213
1987,554,1.2988
1988,554,1.2765
1989,554,1.4077
1990,554,1.1062
1991,554,1.1387
1992,554,1.4655
1993,554,1.1812
1994,554,1.3052
1995,554,1.2596
1996,554,1.1494
1997,554,1.2134
1998,554,1.2872
1999,554,1.2799
2000,554,1.372
2001,554,1.3661
2002,554,1.4637
2003,554,1.3501
2004,554,1.4727
2005,554,1.3979
2006,554,1.4351
2007,554,1.8331
2008,554,1.6902
2009,554,1.7911
2010,554,2.2052
2011,554,1.4739
2012,554,1.942
2013,554,2.0477
2014,554,2.2406
2015,554,2.2445
2016,554,2.2022
2017,554,2.3571
2018,554,2.6897
1970,558,0.3223
1971,558,0.3026
1972,558,0.4165
1973,558,0.4362
1974,558,0.4117
1975,558,0.4062
1976,558,0.4375
1977,558,0.3794
1978,558,0.3847
1979,558,0.401
1980,558,0.3897
1981,558,0.4694
1982,558,0.2975
1983,558,0.383
1984,558,0.3647
1985,558,0.3009
1986,558,0.3468
1987,558,0.3177
1988,558,0.3755
1989,558,0.3613
1990,558,0.4207
1991,558,0.4706
1992,558,0.4412
1993,558,0.3416
1994,558,0.3694
1995,558,0.3515
1996,558,0.407
1997,558,0.4498
1998,558,0.3514
1999,558,0.3312
2000,558,0.4245
2001,558,0.4434
2002,558,0.4533
2003,558,0.4414
2004,558,0.502
2005,558,0.5356
2006,558,0.4722
2007,558,0.536
2008,558,0.4937
2009,558,0.5104
2010,558,0.5959
2011,558,0.5764
2012,558,0.6046
2013,558,0.6267
2014,558,0.7233
2015,558,0.7044
2016,558,0.6512
2017,558,0.6563
2018,558,0.6253
1970,562,0.1302
1971,562,0.1054
1972,562,0.1015
1973,562,0.1448
1974,562,0.1321
1975,562,0.0506
1976,562,0.1475
1977,562,0.0656
1978,562,0.0659
1979,562,0.0812
1980,562,0.1403
1981,562,0.1287
1982,562,0.1053
1983,562,0.1034
1984,562,0.1572
1985,562,0.2089
1986,562,0.0823
1987,562,0.1132
1988,562,0.0946
1989,562,0.0988
1990,562,0.1493
1991,562,0.1121
1992,562,0.0977
1993,562,0.0887
1994,562,0.024
1995,562,0.1104
1996,562,0.1286
1997,562,0.1438
1998,562,0.1469
1999,562,0.1166
2000,562,0.1619
2001,562,0.1449
2002,562,0.1452
2003,562,0.1321
2004,562,0.1817
2005,562,0.1737
2006,562,0.1412
2007,562,0.1264
2008,562,0.1274
2009,562,0.1198
2010,562,0.1542
2011,562,0.1161
2012,562,0.164
2013,562,0.1627
2014,562,0.1542
2015,562,0.1685
2016,562,0.176
2017,562,0.1551
2018,562,0.1428
1970,566,0.0748
1971,566,0.0566
1972,566,0.05
1973,566,0.0573
1974,566,0.0414
1975,566,0.0421
1976,566,0.0616
1977,566,0.0757
1978,566,0.0894
1979,566,0.0918
1980,566,0.1062
1981,566,0.1206
1982,566,0.1129
1983,566,0.0916
1984,566,0.0754
1985,566,0.0698
1986,566,0.0586
1987,566,0.045
1988,566,0.0392
1989,566,0.0325
1990,566,0.0308
1991,566,0.0376
1992,566,0.0382
1993,566,0.0515
1994,566,0.0465
1995,566,0.0427
1996,566,0.0498
1997,566,0.0577
1998,566,0.0614
1999,566,0.0623
2000,566,0.067
2001,566,0.0819
2002,566,0.0532
2003,566,0.0485
2004,566,0.0485
2005,566,0.0522
2006,566,0.0456
2007,566,0.047
2008,566,0.0428
2009,566,0.0434
2010,566,0.0462
2011,566,0.0477
2012,566,0.0469
2013,566,0.0481
2014,566,0.047
2015,566,0.0386
2016,566,0.035
2017,566,0.0416
2018,566,0.0401
1970,50,0.0913
1971,50,0.0698
1972,50,0.0951
1973,50,0.1549
1974,50,0.0996
1975,50,0.1238
1976,50,0.0871
1977,50,0.048
1978,50,0.0843
1979,50,0.0594
1980,50,0.1054
1981,50,0.0614
1982,50,0.0925
1983,50,0.09
1984,50,0.0915
1985,50,0.1119
1986,50,0.08
1987,50,0.0899
1988,50,0.1312
1989,50,0.1028
1990,50,0.0813
1991,50,0.0718
1992,50,0.0787
1993,50,0.0592
1994,50,0.0507
1995,50,0.1072
1996,50,0.1071
1997,50,0.0986
1998,50,0.1021
1999,50,0.1572
2000,50,0.1093
2001,50,0.1134
2002,50,0.114
2003,50,0.1433
2004,50,0.1362
2005,50,0.1378
2006,50,0.1304
2007,50,0.1566
2008,50,0.1128
2009,50,0.1424
2010,50,0.1524
2011,50,0.1484
2012,50,0.1153
2013,50,0.1446
2014,50,0.1569
2015,50,0.2124
2016,50,0.1811
2017,50,0.2299
2018,50,0.2186
1970,578,0.9501
1971,578,0.8157
1972,578,0.8994
1973,578,1.0396
1974,578,0.8977
1975,578,0.7922
1976,578,0.8411
1977,578,0.8333
1978,578,0.8212
1979,578,0.9475
1980,578,0.9789
1981,578,0.8478
1982,578,0.8472
1983,578,0.7685
1984,578,0.6543
1985,578,0.671
1986,578,0.8912
1987,578,0.8873
1988,578,0.8462
1989,578,0.8469
1990,578,0.7293
1991,578,0.5609
1992,578,0.6957
1993,578,0.4881
1994,578,0.6955
1995,578,0.5777
1996,578,0.6741
1997,578,0.6119
1998,578,0.629
1999,578,0.7023
2000,578,0.6627
2001,578,0.7256
2002,578,0.7137
2003,578,0.7682
2004,578,0.6742
2005,578,0.6693
2006,578,0.7169
2007,578,0.7329
2008,578,0.7334
2009,578,0.6408
2010,578,0.6674
2011,578,0.6714
2012,578,0.6958
2013,578,0.734
2014,578,0.6962
2015,578,0.7183
2016,578,0.7894
2017,578,0.77
2018,578,0.7821
1970,586,0.0312
1971,586,0.0353
1972,586,0.0449
1973,586,0.084
1974,586,0.0689
1975,586,0.0721
1976,586,0.0709
1977,586,0.0522
1978,586,0.0666
1979,586,0.1028
1980,586,0.0639
1981,586,0.0616
1982,586,0.0577
1983,586,0.0589
1984,586,0.0687
1985,586,0.0619
1986,586,0.1005
1987,586,0.0763
1988,586,0.0719
1989,586,0.0899
1990,586,0.0816
1991,586,0.068
1992,586,0.0806
1993,586,0.0948
1994,586,0.0726
1995,586,0.095
1996,586,0.0754
1997,586,0.0766
1998,586,0.084
1999,586,0.0936
2000,586,0.0762
2001,586,0.0748
2002,586,0.0695
2003,586,0.0689
2004,586,0.0636
2005,586,0.0903
2006,586,0.1065
2007,586,0.0883
2008,586,0.0914
2009,586,0.096
2010,586,0.0866
2011,586,0.1016
2012,586,0.0874
2013,586,0.0931
2014,586,0.0973
2015,586,0.0965
2016,586,0.0919
2017,586,0.0935
2018,586,0.1028
1970,591,0.6018
1971,591,0.6293
1972,591,0.618
1973,591,0.5834
1974,591,0.5082
1975,591,0.5606
1976,591,0.5561
1977,591,0.5768
1978,591,0.5914
1979,591,0.6107
1980,591,0.6127
1981,591,0.5733
1982,591,0.5745
1983,591,0.6004
1984,591,0.5598
1985,591,0.5759
1986,591,0.5064
1987,591,0.5319
1988,591,0.517
1989,591,0.5152
1990,591,0.5997
1991,591,0.5817
1992,591,0.596
1993,591,0.5768
1994,591,0.6384
1995,591,0.6053
1996,591,0.5885
1997,591,0.55
1998,591,0.5662
1999,591,0.5758
2000,591,0.5144
2001,591,0.4382
2002,591,0.4546
2003,591,0.4247
2004,591,0.4315
2005,591,0.4804
2006,591,0.4735
2007,591,0.557
2008,591,0.5228
2009,591,0.4731
2010,591,0.5637
2011,591,0.5627
2012,591,0.5806
2013,591,0.5657
2014,591,0.5507
2015,591,0.6028
2016,591,0.6225
2017,591,0.6119
2018,591,0.6985
1995,203,1.107
1996,203,1.1021
1997,203,1.1763
1998,203,1.142
1999,203,1.1431
2000,203,1.24
2001,203,1.2599
2002,203,1.3939
2003,203,1.5174
2004,203,1.762
2005,203,2.0692
2006,203,2.1802
2007,203,2.4821
2008,203,2.5029
2009,203,3.005
2010,203,3.2684
2011,203,2.6828
2012,203,2.8461
2013,203,2.945
2014,203,2.9837
2015,203,3.4143
2016,203,3.5509
2017,203,3.3362
2018,203,3.2192
1970,598,0.1574
1971,598,0.1683
1972,598,0.1665
1973,598,0.1648
1974,598,0.1455
1975,598,0.1697
1976,598,0.1694
1977,598,0.1772
1978,598,0.1802
1979,598,0.1892
1980,598,0.1921
1981,598,0.179
1982,598,0.1899
1983,598,0.1904
1984,598,0.2258
1985,598,0.2313
1986,598,0.2527
1987,598,0.227
1988,598,0.2024
1989,598,0.2331
1990,598,0.2102
1991,598,0.2353
1992,598,0.2328
1993,598,0.2204
1994,598,0.1994
1995,598,0.1824
1996,598,0.2221
1997,598,0.2362
1998,598,0.2252
1999,598,0.2194
2000,598,0.2075
2001,598,0.2175
2002,598,0.2191
2003,598,0.207
2004,598,0.2032
2005,598,0.1916
2006,598,0.2031
2007,598,0.2125
2008,598,0.2319
2009,598,0.215
2010,598,0.2201
2011,598,0.2277
2012,598,0.209
2013,598,0.2005
2014,598,0.1929
2015,598,0.2031
2016,598,0.2092
2017,598,0.2122
2018,598,0.1765
1970,600,0.2544
1971,600,0.2189
1972,600,0.2246
1973,600,0.1902
1974,600,0.2563
1975,600,0.1823
1976,600,0.2494
1977,600,0.2412
1978,600,0.2417
1979,600,0.2842
1980,600,0.2767
1981,600,0.2214
1982,600,0.2897
1983,600,0.3532
1984,600,0.2455
1985,600,0.3875
1986,600,0.3584
1987,600,0.3967
1988,600,0.4336
1989,600,0.4681
1990,600,0.5025
1991,600,0.4032
1992,600,0.4259
1993,600,0.5153
1994,600,0.4896
1995,600,0.5266
1996,600,0.6273
1997,600,0.6511
1998,600,0.687
1999,600,0.6071
2000,600,0.7565
2001,600,0.755
2002,600,0.5294
2003,600,0.6571
2004,600,0.7843
2005,600,0.9239
2006,600,0.9229
2007,600,1.0317
2008,600,0.9023
2009,600,1.0047
2010,600,0.8798
2011,600,0.8563
2012,600,1.1033
2013,600,1.0261
2014,600,0.9846
2015,600,1.0881
2016,600,1.0526
2017,600,0.9882
2018,600,1.0491
1995,60,4.4625
1996,60,3.9975
1997,60,3.3374
1998,60,3.2335
1999,60,1.1699
2000,60,0.7477
2001,60,0.5922
2002,60,0.4448
2003,60,0.5132
2004,60,0.844
2005,60,1.1818
2006,60,0.7683
2007,60,0.9507
2008,60,0.912
2009,60,1.4413
2010,60,0.7847
2011,60,0.8083
2012,60,1.1027
2013,60,1.234
2014,60,1.1629
2015,60,0.8445
2016,60,0.7666
