timepointyears,geographicaream49,toi_aff
1978,372,2.6378
1979,372,3.1286
1980,372,2.97
1981,372,2.8236
1982,372,2.4297
1983,372,2.5354
1984,372,2.4806
1985,372,2.7832
1986,372,3.2446
1987,372,3.3021
1988,372,3.2589
1989,372,3.3705
1990,372,2.8524
1991,372,3.033
1992,372,3.2243
1993,372,3.0949
1994,372,3.4102
1995,372,3.6404
1996,372,3.4965
1997,372,3.5106
1998,372,3.7096
1999,372,4.3819
2000,372,4.5154
2001,372,4.8627
2002,372,5.0209
2003,372,4.8876
2004,372,4.1336
2005,372,5.7076
2006,372,7.3814
2007,372,6.6127
2008,372,6.0765
2009,372,7.3207
2010,372,6.5529
2011,372,6.011
2012,372,7.4863
2013,372,7.5093
2014,372,6.1616
2015,372,6.2054
2016,372,5.887
2017,372,5.9231
2018,372,7.2464
1970,376,0.8085
1971,376,0.8168
1972,376,0.7687
1973,376,0.7537
1974,376,0.6848
1975,376,0.7554
1976,376,0.7276
1977,376,0.7464
1978,376,0.7878
1979,376,0.8014
1980,376,0.6893
1981,376,0.6944
1982,376,0.9575
1983,376,0.9551
1984,376,0.8718
1985,376,0.7275
1986,376,0.7681
1987,376,0.8093
1988,376,0.8822
1989,376,0.9063
1990,376,0.938
1991,376,1.0706
1992,376,0.9247
1993,376,1.1062
1994,376,1.0564
1995,376,1.1524
1996,376,0.9893
1997,376,1.0548
1998,376,0.9215
1999,376,1.0182
2000,376,0.9218
2001,376,0.8385
2002,376,0.8454
2003,376,0.9386
2004,376,0.9552
2005,376,0.7878
2006,376,0.8116
2007,376,0.8688
2008,376,0.8549
2009,376,0.742
2010,376,0.8662
2011,376,0.8105
2012,376,0.8334
2013,376,0.8871
2014,376,1.0033
2015,376,1.0067
2016,376,0.9705
2017,376,1.0168
2018,376,0.9783
1970,380,0.8087
1971,380,0.887
1972,380,1.0634
1973,380,0.9937
1974,380,0.9816
1975,380,0.9383
1976,380,1.1009
1977,380,1.1122
1978,380,1.1794
1979,380,1.2588
1980,380,1.1209
1981,380,1.1345
1982,380,1.2068
1983,380,1.0557
1984,380,1.1148
1985,380,1.2862
1986,380,1.1443
1987,380,1.1089
1988,380,1.1624
1989,380,1.181
1990,380,1.1494
1991,380,1.1944
1992,380,1.1815
1993,380,1.1646
1994,380,1.1813
1995,380,1.1338
1996,380,1.1879
1997,380,1.191
1998,380,1.1961
1999,380,1.1597
2000,380,1.2261
2001,380,1.2855
2002,380,1.4017
2003,380,1.4162
2004,380,1.3303
2005,380,1.3878
2006,380,1.4706
2007,380,1.4629
2008,380,1.4158
2009,380,1.4691
2010,380,1.622
2011,380,1.6305
2012,380,1.5727
2013,380,1.5921
2014,380,1.7493
2015,380,1.6598
2016,380,1.7134
2017,380,1.8283
2018,380,1.7985
1970,384,0.4743
1971,384,0.3997
1972,384,0.4366
1973,384,0.5026
1974,384,0.6115
1975,384,0.4743
1976,384,0.5025
1977,384,0.4795
1978,384,0.5444
1979,384,0.4984
1980,384,0.5408
1981,384,0.6037
1982,384,0.6859
1983,384,0.6124
1984,384,0.6783
1985,384,0.5394
1986,384,0.545
1987,384,0.5439
1988,384,0.4565
1989,384,0.4771
1990,384,0.4949
1991,384,0.5107
1992,384,0.4998
1993,384,0.6064
1994,384,0.4686
1995,384,0.4629
1996,384,0.5141
1997,384,0.5538
1998,384,0.5092
1999,384,0.5992
2000,384,0.6154
2001,384,0.6693
2002,384,0.6103
2003,384,0.596
2004,384,0.6222
2005,384,0.5974
2006,384,0.5775
2007,384,0.5562
2008,384,0.5596
2009,384,0.6895
2010,384,0.7073
2011,384,0.7368
2012,384,0.8779
2013,384,0.6631
2014,384,0.742
2015,384,0.7847
2016,384,0.7209
2017,384,0.7429
2018,384,0.7239
1992,398,0.161
1993,398,0.149
1994,398,0.1462
1995,398,0.2167
1996,398,0.1721
1997,398,0.2222
1998,398,0.2491
1999,398,0.2456
2000,398,0.3503
2001,398,0.2216
2002,398,0.2619
2003,398,0.3377
2004,398,0.2796
2005,398,0.2724
2006,398,0.3503
2007,398,0.4086
2008,398,0.4286
2009,398,0.3256
2010,398,0.6096
2011,398,0.3357
2012,398,0.5484
2013,398,0.4387
2014,398,0.4344
2015,398,0.4044
2016,398,0.3865
2017,398,0.3995
2018,398,0.4516
1970,388,1.2472
1971,388,1.1047
1972,388,1.094
1973,388,1.0725
1974,388,1.0231
1975,388,0.9683
1976,388,0.9353
1977,388,0.8645
1978,388,0.8694
1979,388,0.7321
1980,388,0.8406
1981,388,0.7705
1982,388,0.8341
1983,388,0.8289
1984,388,0.7894
1985,388,0.7657
1986,388,0.8332
1987,388,0.8494
1988,388,0.8786
1989,388,0.8848
1990,388,0.8451
1991,388,0.9449
1992,388,0.7312
1993,388,0.6717
1994,388,0.5625
1995,388,0.6068
1996,388,0.5865
1997,388,0.738
1998,388,0.7502
1999,388,0.7217
2000,388,0.8549
2001,388,0.8162
2002,388,0.834
2003,388,0.7573
2004,388,0.9882
2005,388,0.9519
2006,388,0.908
2007,388,0.955
2008,388,0.8732
2009,388,0.7418
2010,388,0.7658
2011,388,0.7732
2012,388,0.6805
2013,388,0.6413
2014,388,0.6513
2015,388,0.61
2016,388,0.6042
2017,388,0.673
2018,388,0.6668
1970,40,0.598
1971,40,0.7305
1972,40,0.7303
1973,40,0.7394
1974,40,0.6655
1975,40,0.662
1976,40,0.7775
1977,40,0.7178
1978,40,0.7813
1979,40,0.8006
1980,40,0.8684
1981,40,0.9451
1982,40,0.9712
1983,40,1.1118
1984,40,1.1658
1985,40,1.2121
1986,40,1.3213
1987,40,1.2959
1988,40,1.4057
1989,40,1.361
1990,40,1.3448
1991,40,1.2601
1992,40,1.4406
1993,40,1.4077
1994,40,1.4373
1995,40,1.6316
1996,40,1.7985
1997,40,1.9129
1998,40,1.9122
1999,40,2.1603
2000,40,2.3786
2001,40,2.4775
2002,40,2.744
2003,40,2.8435
2004,40,2.6869
2005,40,3.1823
2006,40,3.3009
2007,40,3.0412
2008,40,3.0006
2009,40,3.2065
2010,40,3.6643
2011,40,3.2846
2012,40,3.5297
2013,40,3.816
2014,40,3.9485
2015,40,3.9664
2016,40,3.7814
2017,40,3.8292
2018,40,3.8978
1970,392,0.312
1971,392,0.3257
1972,392,0.2906
1973,392,0.3183
1974,392,0.3127
1975,392,0.298
1976,392,0.3369
1977,392,0.3675
1978,392,0.3839
1979,392,0.4167
1980,392,0.4436
1981,392,0.4418
1982,392,0.4124
1983,392,0.4233
1984,392,0.4237
1985,392,0.4294
1986,392,0.4434
1987,392,0.4464
1988,392,0.4829
1989,392,0.4627
1990,392,0.4665
1991,392,0.5424
1992,392,0.5366
1993,392,0.6007
1994,392,0.5935
1995,392,0.6358
1996,392,0.5923
1997,392,0.6179
1998,392,0.602
1999,392,0.6173
2000,392,0.5674
2001,392,0.6209
2002,392,0.5735
2003,392,0.642
2004,392,0.7076
2005,392,0.7185
2006,392,0.7204
2007,392,0.669
2008,392,0.6119
2009,392,0.6435
2010,392,0.709
2011,392,0.6973
2012,392,0.6883
2013,392,0.6792
2014,392,0.6893
2015,392,0.7165
2016,392,0.7855
2017,392,0.8059
2018,392,0.8663
1970,400,0.4773
1971,400,0.3267
1972,400,0.3711
1973,400,0.6301
1974,400,0.5208
1975,400,0.8308
1976,400,1.0203
1977,400,0.9832
1978,400,0.8437
1979,400,1.0767
1980,400,1.0591
1981,400,1.45
1982,400,1.1994
1983,400,1.064
1984,400,1.313
1985,400,1.1652
1986,400,1.125
1987,400,1.0201
1988,400,0.7795
1989,400,1.0348
1990,400,1.049
1991,400,0.962
1992,400,0.7695
1993,400,1.0115
1994,400,1.0859
1995,400,1.0569
1996,400,1.0113
1997,400,1.3708
1998,400,1.3848
1999,400,1.8152
2000,400,1.7652
2001,400,1.7025
2002,400,1.4027
2003,400,1.4336
2004,400,1.5108
2005,400,1.428
2006,400,1.2693
2007,400,1.4545
2008,400,1.3431
2009,400,1.1208
2010,400,0.9759
2011,400,1.1119
2012,400,1.3016
2013,400,1.3361
2014,400,1.4096
2015,400,1.223
2016,400,1.4354
2017,400,1.1723
2018,400,1.1233
1992,417,0.8863
1993,417,0.6636
1994,417,0.3255
1995,417,0.4816
1996,417,0.6243
1997,417,0.4219
1998,417,0.3669
1999,417,0.3238
2000,417,0.2934
2001,417,0.1921
2002,417,0.2742
2003,417,0.2252
2004,417,0.2788
2005,417,0.3907
2006,417,0.4542
2007,417,0.5676
2008,417,0.5353
2009,417,0.4725
2010,417,0.5855
2011,417,0.6123
2012,417,0.6236
2013,417,0.5546
2014,417,0.5364
2015,417,0.4246
2016,417,0.3
2017,417,0.3747
2018,417,0.4147
1970,404,0.1361
1971,404,0.113
1972,404,0.1379
1973,404,0.1912
1974,404,0.1307
1975,404,0.1306
1976,404,0.1235
1977,404,0.0958
1978,404,0.0964
1979,404,0.1184
1980,404,0.1121
1981,404,0.1
1982,404,0.0923
1983,404,0.1212
1984,404,0.1117
1985,404,0.1003
1986,404,0.1377
1987,404,0.1412
1988,404,0.1107
1989,404,0.1005
1990,404,0.1196
1991,404,0.1008
1992,404,0.1976
1993,404,0.1998
1994,404,0.2098
1995,404,0.1505
1996,404,0.1672
1997,404,0.1531
1998,404,0.1357
1999,404,0.1122
2000,404,0.1188
2001,404,0.1153
2002,404,0.1054
2003,404,0.1299
2004,404,0.1181
2005,404,0.1324
2006,404,0.1351
2007,404,0.1588
2008,404,0.1611
2009,404,0.1931
2010,404,0.1733
2011,404,0.1488
2012,404,0.12
2013,404,0.1632
2014,404,0.1467
2015,404,0.1351
2016,404,0.1587
2017,404,0.2156
2018,404,0.1765
1995,116,0.0746
1996,116,0.0706
1997,116,0.0687
1998,116,0.0551
1999,116,0.0779
2000,116,0.0878
2001,116,0.1227
2002,116,0.1167
2003,116,0.1043
2004,116,0.1631
2005,116,0.1473
2006,116,0.1427
2007,116,0.1326
2008,116,0.1456
2009,116,0.1693
2010,116,0.1746
2011,116,0.2246
2012,116,0.2877
2013,116,0.2427
2014,116,0.2143
2015,116,0.2877
2016,116,0.3108
2017,116,0.3117
2018,116,0.3313
1970,408,0.3454
1971,408,0.3014
1972,408,0.2822
1973,408,0.4153
1974,408,0.5522
1975,408,0.6317
1976,408,0.4574
1977,408,0.5952
1978,408,0.5947
1979,408,0.4433
1980,408,0.2637
1981,408,0.3015
1982,408,0.243
1983,408,0.1499
1984,408,0.1502
1985,408,0.1773
1986,408,0.1955
1987,408,0.2504
1988,408,0.2777
1989,408,0.1253
1990,408,0.1082
1991,408,0.1705
1992,408,0.1297
1993,408,0.2111
1994,408,0.0994
1995,408,0.1315
1996,408,0.1266
1997,408,0.1687
1998,408,0.1592
1999,408,0.1278
2000,408,0.2486
2001,408,0.2233
2002,408,0.1951
2003,408,0.1936
2004,408,0.1956
2005,408,0.147
2006,408,0.0711
2007,408,0.1301
2008,408,0.0514
2009,408,0.0638
2010,408,0.0621
2011,408,0.0715
2012,408,0.0909
2013,408,0.1028
2014,408,0.1161
2015,408,0.1007
2016,408,0.0943
2017,408,0.0696
2018,408,0.0512
1970,410,0.1147
1971,410,0.1501
1972,410,0.1419
1973,410,0.1477
1974,410,0.1238
1975,410,0.1413
1976,410,0.1251
1977,410,0.1522
1978,410,0.1861
1979,410,0.2083
1980,410,0.2763
1981,410,0.3157
1982,410,0.2286
1983,410,0.2479
1984,410,0.2624
1985,410,0.2578
1986,410,0.2701
1987,410,0.3343
1988,410,0.3262
1989,410,0.3611
1990,410,0.3674
1991,410,0.3872
1992,410,0.3774
1993,410,0.3982
1994,410,0.4166
1995,410,0.4245
1996,410,0.426
1997,410,0.3998
1998,410,0.4216
1999,410,0.4217
2000,410,0.4297
2001,410,0.4345
2002,410,0.4707
2003,410,0.5003
2004,410,0.4576
2005,410,0.472
2006,410,0.464
2007,410,0.4614
2008,410,0.4609
2009,410,0.416
2010,410,0.4796
2011,410,0.4946
2012,410,0.5286
2013,410,0.518
2014,410,0.504
2015,410,0.5107
2016,410,0.55
2017,410,0.5356
2018,410,0.5594
1970,414,7.0832
1971,414,7.7866
1972,414,8.7793
1973,414,9.1407
1974,414,6.9251
1975,414,8.6725
1976,414,10.639
1977,414,11.1424
1978,414,10.0503
1979,414,13.0745
1980,414,13.2307
1981,414,8.9248
1982,414,13.3091
1983,414,10.6476
1984,414,9.2628
1985,414,5.3624
1986,414,4.6881
1987,414,5.0122
1988,414,5.5636
1989,414,4.2429
1990,414,1.9511
1991,414,4.4147
1992,414,8.5256
1993,414,6.6952
1994,414,4.5303
1995,414,4.7601
1996,414,5.9326
1997,414,5.6149
1998,414,4.7409
1999,414,5.5186
2000,414,6.7372
2001,414,5.1172
2002,414,3.4899
2003,414,3.2312
2004,414,3.73
2005,414,4.5043
2006,414,7.8917
2007,414,6.6853
2008,414,7.837
2009,414,6.8712
2010,414,2.6676
2011,414,2.6494
2012,414,2.6874
2013,414,4.692
2014,414,4.6214
2015,414,4.7149
2016,414,4.5634
2017,414,4.8159
2018,414,4.3461
1992,428,0.3728
1993,428,0.7031
1994,428,0.5861
1995,428,0.6212
1996,428,1.1227
1997,428,0.9335
1998,428,1.0182
1999,428,1.0829
2000,428,0.9183
2001,428,0.8934
2002,428,0.9227
2003,428,1.0165
2004,428,1.0899
2005,428,1.6162
2006,428,1.699
2007,428,1.8366
2008,428,3.137
2009,428,3.1284
2010,428,3.2914
2011,428,3.0969
2012,428,4.063
2013,428,3.7053
2014,428,3.782
2015,428,3.6095
2016,428,4.8143
2017,428,4.8311
2018,428,4.4032
1970,44,2.5094
1971,44,2.5529
1972,44,2.5431
1973,44,2.2121
1974,44,2.559
1975,44,2.7404
1976,44,3.0693
1977,44,1.9213
1978,44,1.5305
1979,44,1.7607
1980,44,2.5574
1981,44,1.9014
1982,44,2.9416
1983,44,2.422
1984,44,2.2828
1985,44,2.3
1986,44,2.3075
1987,44,2.3671
1988,44,2.1313
1989,44,2.4564
1990,44,2.3832
1991,44,1.8589
1992,44,2.0256
1993,44,1.8515
1994,44,2.0853
1995,44,2.0269
1996,44,1.7923
1997,44,1.9088
1998,44,2.2795
1999,44,2.6008
2000,44,2.875
2001,44,2.4654
2002,44,1.7628
2003,44,1.3795
2004,44,1.6575
2005,44,1.8368
2006,44,2.2718
2007,44,2.5327
2008,44,2.1615
2009,44,2.4252
2010,44,2.2286
2011,44,2.1987
2012,44,2.638
2013,44,2.9348
2014,44,1.8348
2015,44,2.3904
2016,44,2.6157
2017,44,3.8697
2018,44,3.4036
1970,418,0.1516
1971,418,0.1254
1972,418,0.1474
1973,418,0.117
1974,418,0.0809
1975,418,0.0354
1976,418,0.0614
1977,418,0.1353
1978,418,0.1961
1979,418,0.1723
