Identifier,Code,Start_Year,End_Year,Public,Type,Name_En,Name_Fr,Name_Es,Name_Ar,Name_Zh,Name_Ru,ShortName_En,ShortName_Fr,ShortName_Es,ShortName_Ar,ShortName_Zh,ShortName_Ru,Definition,ScopeNote,HistoryNote,EditorialNote,SubSet
422,LBP,,,,,Lebanese Pound,Livre libanaise,Libra libanesa,,,,Lebanese Pound,Livre libanaise,Libra libanesa,,,,,,,,
426,LSL,1995,,,,Loti,Loti,Loti,,,,Loti,Loti,Loti,,,,,,,Start Date removed in SWS,
430,LRD,,,,,Liberian Dollar,Dollar libérien,Dólar liberiano,,,,Liberian Dollar,Dollar libérien,Dólar liberiano,,,,,,,,
434,LYD,,,,,Libyan Dinar,Dinar libyen,Dinar libio,,,,Libyan Dinar,Dinar libyen,Dinar libio,,,,,,,,
446,MOP,,,,,Pataca,Pataca,Pataca,,,,Pataca,Pataca,Pataca,,,,,,,,
454,MWK,,,,,Malawi Kwacha,Kwacha malawien,Kwacha malawiano,,,,Malawi Kwacha,Kwacha malawien,Kwacha malawiano,,,,,,,,
458,MYR,,,,,Malaysian Ringgit,Ringgit de Malaisie,Ringgit malayo,,,,Malaysian Ringgit,Ringgit de Malaisie,Ringgit malayo,,,,,,,,
462,MVR,1982,,,,Rufiyaa,Rufiyaa,Rifiyaa,,,,Rufiyaa,Rufiyaa,Rifiyaa,,,,,,,,
480,MUR,,,,,Mauritius Rupee,Roupie de Maurice,Rupia mauricia,,,,Mauritius Rupee,Roupie de Maurice,Rupia mauricia,,,,,,,,
484,MXN,,,,,Mexican Peso,Peso mexicain,Peso mexicano,,,,Mexican Peso,Peso mexicain,Peso mexicano,,,,,,,,
496,MNT,,,,,Tugrik,Tugrik,Tugrik,,,,Tugrik,Tugrik,Tugrik,,,,,,,,
498,MDL,,,,,Moldovan Leu,Leu de Moldovie,Leu de Moldova,,,,Moldovan Leu,Leu de Moldovie,Leu de Moldova,,,,,,,,
504,MAD,,,,,Moroccan Dirham,Dirham marocain,Dirham marroquí,,,,Moroccan Dirham,Dirham marocain,Dirham marroquí,,,,,,,,
512,OMR,,,,,Rial Omani,Rial omanais,Rial omaní,,,,Rial Omani,Rial omanais,Rial omaní,,,,,,,,
516,NAD,1994,,,,Namibia Dollar,Dollar namibien,Dólar namibiano,,,,Namibia Dollar,Dollar namibien,Dólar namibiano,,,,,,,Start Date removed in SWS,
524,NPR,,,,,Nepalese Rupee,Roupie du Népal,Rupia nepalesa,,,,Nepalese Rupee,Roupie du Népal,Rupia nepalesa,,,,,,,,
532,ANG,,,,,Netherlands Antillean Guilder,Florin des Antilles,Florín de las Antillas,,,,Netherlands Antillean Guilder,Florin des Antilles,Florín de las Antillas,,,,,,,,
533,AWG,,,,,Aruban Florin,Florin d'Aruba,Florín arubeño,,,,Aruban Florin,Florin d'Aruba,Florín arubeño,,,,,,,,
548,VUV,,,,,Vatu,Vatu,Vatu,,,,Vatu,Vatu,Vatu,,,,,,,,
554,NZD,,,,,New Zealand Dollar,Dollar néo-zélandais,Dólar neozelandés,,,,New Zealand Dollar,Dollar néo-zélandais,Dólar neozelandés,,,,,,,,
558,NIO,1991,,,,Cordoba Oro,Córdoba Oro,Córdoba Oro,,,,Cordoba Oro,Córdoba Oro,Córdoba Oro,,,,,,,Start Date removed in SWS,
566,NGN,,,,,Naira,Naira,Naira,,,,Naira,Naira,Naira,,,,,,,,
578,NOK,,,,,Norwegian Krone,Couronne norvégienne,Corona noruega,,,,Norwegian Krone,Couronne norvégienne,Corona noruega,,,,,,,,
586,PKR,,,,,Pakistan Rupee,Roupie du Pakistan,Rupia paquistaní,,,,Pakistan Rupee,Roupie du Pakistan,Rupia paquistaní,,,,,,,,
590,PAB,,,,,Balboa,Balboa,Balboa,,,,Balboa,Balboa,Balboa,,,,,,,,
598,PGK,,,,,Kina,Kina,Kina,,,,Kina,Kina,Kina,,,,,,,,
600,PYG,,,,,Guarani,Guaraní,Guaraní,,,,Guarani,Guaraní,Guaraní,,,,,,,,
604,PEN,1992,,,,Sol,Sol,Sol,,,,Sol,Sol,Sol,,,,,,,Start Date removed in SWS,
608,PHP,,,,,Philippine Peso,Peso philippin,Peso filipino,,,,Philippine Peso,Peso philippin,Peso filipino,,,,,,,,
634,QAR,,,,,Qatari Rial,Riyal du Qatar,Rial de Qatar,,,,Qatari Rial,Riyal du Qatar,Rial de Qatar,,,,,,,,
643,RUB,1998,,,,Russian Ruble,Rouble russe,Rublo ruso,,,,Russian Ruble,Rouble russe,Rublo ruso,,,,,,,Start Date removed in SWS,
646,RWF,,,,,Rwanda Franc,Franc du Rwanda,Franco ruandés,,,,Rwanda Franc,Franc du Rwanda,Franco ruandés,,,,,,,,
654,SHP,,,,,Saint Helena Pound,Livre de Sainte-Hélène,Libra de Santa Elena,,,,Saint Helena Pound,Livre de Sainte-Hélène,Libra de Santa Elena,,,,,,,,
682,SAR,,,,,Saudi Riyal,Riyal saoudien,Rial saudí,,,,Saudi Riyal,Riyal saoudien,Rial saudí,,,,,,,,
690,SCR,,,,,Seychelles Rupee,Roupie des Seychelles,Rupia de Seychelles,,,,Seychelles Rupee,Roupie des Seychelles,Rupia de Seychelles,,,,,,,,
694,SLL,,,,,Leone,Leone,Leone,,,,Leone,Leone,Leone,,,,,,,,
702,SGD,,,,,Singapore Dollar,Dollar de Singapour,Dólar singapurense,,,,Singapore Dollar,Dollar de Singapour,Dólar singapurense,,,,,,,,
704,VND,1978,,,,Dong,Dong,Dong,,,,Dong,Dong,Dong,,,,,,,Start Date removed in SWS,
706,SOS,,,,,Somali Shilling,Shilling de Somalie,Chelín somalí,,,,Somali Shilling,Shilling de Somalie,Chelín somalí,,,,,,,,
710,ZAR,,,,,Rand,Rand,Rand,,,,Rand,Rand,Rand,,,,,,,,
720,YDD,1965,1996,,,Yemeni Dinar,Yemeni Dinar,Yemeni Dinar,,,,Yemeni Dinar,Yemeni Dinar,Yemeni Dinar,,,,,,,,
728,SSP,,,,,South Sudanese Pound,Livre sud-soudanaise,Libra sursudanesa,,,,South Sudanese Pound,Livre sud-soudanaise,Libra sursudanesa,,,,,,,,
748,SZL,,,,,Lilangeni,Lilangeni,Lilangeni,,,,Lilangeni,Lilangeni,Lilangeni,,,,,,,,
752,SEK,,,,,Swedish Krona,Couronne suédoise,Corona sueca,,,,Swedish Krona,Couronne suédoise,Corona sueca,,,,,,,,
756,CHF,,,,,Swiss Franc,Franc suisse,Franco suizo,,,,Swiss Franc,Franc suisse,Franco suizo,,,,,,,,
760,SYP,,,,,Syrian Pound,Livre syrienne,Libra siria,,,,Syrian Pound,Livre syrienne,Libra siria,,,,,,,,
764,THB,,,,,Baht,Baht,Baht,,,,Baht,Baht,Baht,,,,,,,,
776,TOP,,,,,Pa’anga,Pa'anga,Pa'anga,,,,Pa’anga,Pa'anga,Pa'anga,,,,,,,,
780,TTD,,,,,Trinidad and Tobago Dollar,Dollar de la Trinité et de Tobago,Dólar de Trinidad y Tabago,,,,Trinidad and Tobago Dollar,Dollar de la Trinité et de Tobago,Dólar de Trinidad y Tabago,,,,,,,,
784,AED,,,,,UAE Dirham,Dirham des Émirats Arabes Unis,Dirham de los Emiratos Árabes Unidos,,,,UAE Dirham,Dirham des Émirats Arabes Unis,Dirham de los Emiratos Árabes Unidos,,,,,,,,
