to_currency,from_currency,Value
GNF,GNS,1.0000000000000
GNI,XCOF,1.0000000000000
GNS,GNI,10.0000000000000
GQE,GQP,1.0000000000000
GQF,GQE,4.0000000000000
GQP,ESP,1.0000000000000
GRD,GRN,1000.0000000000000
GRP,FRG,1.0000000000000
GRS,FRG,1.0000000000000
GRS,GRP,1.0000000000000
GTQ,GTP,1.0000000000000
GUF,FRF,0.0100000000000
GWE,GWM,1.0000000000000
GWE,PTE,1.0000000000000
GWM,PTE,1.0000000000000
GWM,PTM,1.0000000000000
GWP,GWE,1.0000000000000
GWP,XOF,0.0153846150000
GYD,XBCD,1.0000000000000
HKD,XMSD,1.0000000000000
HNL,HNP,1.0000000000000
HNL,USD,0.5000000000000
HNP,USD,0.5000000000000
HRD,YUN,1.0000000000000
HRDK,ALF,0.0625000000000
HRDK,HUP,0.0250000000000
HRDK,ITL,0.0832500000000
HRDK,ROL,0.2500000000000
HRK,HRD,1000.0000000000000
HRKG,HRKO,1000000000.0000000000000
HRKG,YUG,1.0000000000000
HRKO,HRKR,1000000.0000000000000
HRKO,YUO,1.0000000000000
HRKR,YUN,10.0000000000000
HRKR,YUR,1.0000000000000
HTG,FRG,5.0000000000000
HTG,HTN,300.0000000000000
HTG,USD,1.0000000000000
HTN,FRG,0.0166666670000
HTN,USD,0.0033333330000
HUF,HUP,400000000000000000000.0000000000000
IBP,GBP,1.0000000000000
IDG,IDJ,2.0000000000000
IDIR,IDN,3.6200000000000
IDIR,NLG,1.0000000000000
IDIR,NNGG,1.0000000000000
IDN,IDG,1.0000000000000
IDN,IDJ,2.0000000000000
IDN,MYAD,0.0680272110000
IDN,NLG,0.2762430940000
IDN,NNGG,0.2762430940000
IDR,IDN,1000.0000000000000
IDRR,IDN,14.7000000000000
IDRR,MYAD,1.0000000000000
IEP,GBP,1.0000000000000
ILL,ILP,10.0000000000000
ILP,PSP,1.0000000000000
ILS,ILL,1000.0000000000000
IMP,GBP,1.0000000000000
INFP,FRF,10.0000000000000
INPE,INR,0.1666666670000
INPE,PTE,1.0000000000000
IQD,GBP,1.0000000000000
ISK,DKK,0.5000000000000
ISK,ISJ,100.0000000000000
ITL,FRG,1.0000000000000
ITL,HUP,0.3003003000000
ITL,XITL,1.0000000000000
JMD,JMP,0.5000000000000
JOD,PSP,1.0000000000000
JPY,USD,1.0000000000000
KATF,CDG,1.0000000000000
KES,XEAS,1.0000000000000
KGS,RUR,200.0000000000000
KGS,SUR,200.0000000000000
KHR,FRF,10.0000000000000
KHR,INFP,1.0000000000000
KHR,USD,0.2500000000000
KMF,MGG,1.0000000000000
KMF,XMCF,1.0000000000000
KPW,KPO,1.0000000000000
KPX,KPW,1.0000000000000
KRH,KRO,100.0000000000000
KRH,USD,0.0166666670000
KRO,USD,0.0001666670000
KRW,KRH,10.0000000000000
KWD,GBP,1.0000000000000
KYD,JMD,1.0000000000000
KZR,RUR,1.0000000000000
KZT,KZR,200.0000000000000
KZT,RUR,200.0000000000000
KZT,SUR,200.0000000000000
LAK,LAL,100.0000000000000
LAL,LAO,20.0000000000000
LAO,ICFP,1.0000000000000
LBP,XLSP,1.0000000000000
LIF,CHF,1.0000000000000
LKR,LNR,1.0000000000000
LRD,USD,1.0000000000000
LSL,ZAR,1.0000000000000
LTL,LTT,100.0000000000000
LTL,SUR,100.0000000000000
LTT,SUR,1.0000000000000
LUF,BEF,1.0000000000000
LVL,LVR,200.0000000000000
LVL,SUR,200.0000000000000
LVR,SUR,1.0000000000000
LYD,LYP,1.0000000000000
LYP,DZG,980.0000000000000
LYP,EGP,0.9750000000000
LYP,GBP,1.0000000000000
MAD,MAF,100.0000000000000
MCF,MCG,1.0000000000000
MDC,MDR,1.0000000000000
MDL,MDC,1000.0000000000000
MDL,MDR,1000.0000000000000
MDL,SUR,1000.0000000000000
MDR,SUR,1.0000000000000
MGA,MGF,5.0000000000000
MGF,FRF,0.0200000000000
MGF,MGG,1.0000000000000
MGF,XMCF,1.0000000000000
MGG,FRF,0.0200000000000
MHD,USD,1.0000000000000
MKD,MKN,100.0000000000000
MKD,YUN,100.0000000000000
MKN,YUN,1.0000000000000
MLF,XOF,1.0000000000000
MMK,BUK,1.0000000000000
MMX,USD,1.0000000000000
MNT,RUES,1.0000000000000
MRO,XOF,10.0000000000000
MTL,MTP,1.0000000000000
MTP,GBP,1.0000000000000
MUR,GBP,0.0750018750000
MVP,LKR,1.0000000000000
MVR,MVP,1.0000000000000
